SS,Mã hàng,MSKH,Đối tượng gửi dữ liệu,Nguồn dữ liệu,Yêu cầu đặc biệt khi gửi dữ liệu,Part Number,Gui_DL,Nơi nhận dữ liệu,DUNG LƯỢNG 1 LẦN GỬI,Status
FC140RM70858J,70858J,880450C,MONTH,MAP,,-,DD,SMR,8.0,Không có dữ liệu
FC140RM70858L,70858L,882050K,MONTH,MAP,,-,DD,KRO,8.0,Đã xác nhận
FC140RM70858L,70858L,880450C,MONTH,MAP,,-,DD,SMR,8.0,Đã xác nhận
FC140RM70859E,70859E,882050K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
FC140RM70859E,70859E,880450C,MONTH,MAP,,-,DD,SMR,8.0,Không có dữ liệu
FC140RM70859G,70859G,882050K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
FC140RM70859J,70859J,882050K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
FC140RM70859J,70859J,880450C,MONTH,MAP,,-,DD,SMR,8.0,Không có dữ liệu
FC140RM70859L,70859L,882050K,MONTH,MAP,,-,DD,KRO,8.0,Đã xác nhận
FC140RM70859L,70859L,880450C,MONTH,MAP,,-,DD,SMR,8.0,Đã xác nhận
FC140SD70860G,70860G,950899Q,MONTH,MAP,,-,DD,THO (KD),8.0,Không có dữ liệu
FC140SD72459E,72459E,882050K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
FC140SD72459F,72459F,882050K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
FC140SD72459H,72459H,882050K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
FC140SE70806E,70806E,882175K,MONTH,MAP,,-,TB,KRO,8.0,
FC140SE70806G,70806G,882175K,MONTH,MAP,,-,TB,KRO,,
FC140SE72355D,72355D,882134K,MONTH,MAP,,-,TB,KRO,8.0,
FC140SE72355G,72355G,882134K,MONTH,MAP,,-,TB,KRO,8.0,
FC140SE73055D,73055D,882175K,MONTH,MAP,,-,TB,KRO,8.0,
